observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
41,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,1,0.23605458205848373,0.48585448650648844,0.23605458205848356
42,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,2,0.06380807142664044,0.2526025958430366,0.0638080714266405
43,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,3,0.35070144609269843,0.5922005117295142,0.3507014460926984
44,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,4,0.1921788731062836,0.43838210856088045,0.1921788731062836
45,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,5,0.2696159056452919,0.5192455157681114,0.269615905645292
46,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,6,0.23833957013138907,0.488200338110687,0.23833957013138907
47,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,7,0.2774092262389989,0.5266965219545303,0.27740922623899905
48,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,8,0.2210997036736845,0.4702124027220937,0.2210997036736844
49,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,9,0.14482720413457012,0.3805616955692862,0.14482720413457006
50,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,10,0.2525289485848937,0.5025225851490596,0.2525289485848938
51,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,11,0.6107829532687367,0.7815260413247512,0.6107829532687368
52,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,12,0.1680656322096648,0.40995808591813976,0.1680656322096648
53,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,13,0.4737387017060824,0.6882867873975806,0.47373870170608245
54,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,14,0.26577467821517997,0.5155333919497165,0.26577467821518
55,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,15,0.5371008987098908,0.7328716795660005,0.5371008987098905
56,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,16,0.07901593760598075,0.2810977367500151,0.07901593760598077
57,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,17,0.06068474929752049,0.2463427476048776,0.060684749297520435
58,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,18,0.17843190726162217,0.4224120112658045,0.17843190726162217
59,B_vs_A,A_vs_B,rat0222,rat0307,rat0222__rat0307,19,0.26494465542183987,0.5147277488360615,0.2649446554218397
60,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,0,0.7543540801612624,0.8685355952183321,0.7543540801612624
61,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,1,0.16773104250134196,0.40954980466524693,0.16773104250134194
62,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,2,0.12268748864507457,0.35026773851594534,0.12268748864507466
63,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,3,0.41266763722974353,0.6423921210831773,0.4126676372297436
64,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,4,0.2970647378035228,0.5450364554812117,0.29706473780352294
65,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,5,0.5343687447428245,0.731005297342519,0.5343687447428245
66,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,6,0.1904689953171541,0.43642753730390826,0.1904689953171542
67,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,7,0.07598493570806436,0.2756536517227085,0.07598493570806428
68,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,8,0.06746091473837826,0.2597323906223061,0.06746091473837817
69,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,9,0.4322690942340033,0.6574717440574944,0.4322690942340033
70,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,10,0.0940540020686366,0.3066822493536863,0.09405400206863664
71,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,11,0.7862754754608194,0.8867217576335992,0.7862754754608194
72,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,12,0.35446588649678984,0.5953703775775128,0.35446588649679
73,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,13,0.4082639601660236,0.6389553663332233,0.40826396016602357
74,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,14,0.210872525201849,0.45920858572314277,0.21087252520184896
75,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,15,0.5591762048970633,0.7477808535239876,0.5591762048970634
76,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,16,0.34517191527470026,0.5875133319974111,0.3451719152747002
77,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,17,0.5300552926693548,0.7280489630988803,0.5300552926693549
78,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,18,0.3598004587570991,0.5998336925824517,0.3598004587570991
79,B_vs_B,B_vs_B,rat0222,rat0307,rat0222__rat0307,19,0.5628145929024478,0.750209699285772,0.5628145929024485
80,A_vs_A,A_vs_A,rat0222,rat0313,rat0222__rat0313,0,0.09261868219113446,0.3043331762906148,0.09261868219113441
